"3nkb","3nkb.rsn","3 Ninjas Kick Back","4","3-ninjas-kick-back"
"4ns","4ns.rsn","4 Nin Shogi","8","4-nin-shougi"
"a88","a88.rsn","U.N. Squadron","3020","area-88"
"a88","a88.rsn","U.N. Squadron","3021","area-88"
"aat","aat.rsn","Andre Agassi Tennis","96","andre-agassi-tennis"
"aat","aat.rsn","Andre Agassi Tennis","97","andre-agassi-tennis"
"abd","abd.rsn","American Battle Dome","92","american-battle-dome"
"acc","acc.rsn","Akazukin Cha Cha","65","akazukin-cha-cha"
"accb","accb.rsn","Accelebrid","21","accele-brid"
"ace","ace.rsn","Ace o Nerae!","22","ace-o-nerae"
"acme","acme.rsn","ACME Animation Factory","16","acme-animation-factory"
"acme","acme.rsn","ACME Animation Factory","17","acme-animation-factory"
"acrm","acrm.rsn","Acrobat Mission","23","acrobat-mission"
"actp","actp.rsn","Action Pachio","31","action-pachio"
"actr2","actr2.rsn","Actraiser 2","28","actraiser-2-chinmoku-heno-seisen"
"actr2","actr2.rsn","Actraiser 2","29","actraiser-2-chinmoku-heno-seisen"
"actr2","actr2.rsn","Actraiser 2","30","actraiser-2-chinmoku-heno-seisen"
"ads","ads.rsn","Aoki Densetsu Shoot!","106","aoki-densetsu-shoot"
"aero2","aero2.rsn","Aero the Acro-Bat 2","53","aero-the-acro-bat-2"
"aero2","aero2.rsn","Aero the Acro-Bat 2","54","aero-the-acro-bat-2"
"afv","afv.rsn","Addams Family Values","33","addams-family-values"
"afv","afv.rsn","Addams Family Values","34","addams-family-values"
"ag","ag.rsn","American Gladiators","93","american-gladiators"
"aging","aging.rsn","Aging Cassette","57","aging-cassette"
"airc","airc.rsn","Air Cavalry","59","air-cavalry"
"airc","airc.rsn","Air Cavalry","60","air-cavalry"
"al3","al3.rsn","Alien 3","82","alien-3"
"al3","al3.rsn","Alien 3","83","alien-3"
"al3","al3.rsn","Alien 3","84","alien-3"
"al3","al3.rsn","Alien 3","85","alien-3"
"ala","ala.rsn","Aladdin","70","aladdin"
"ala","ala.rsn","Aladdin","71","aladdin"
"ala","ala.rsn","Aladdin","72","aladdin"
"ala","ala.rsn","Aladdin","73","aladdin"
"ala","ala.rsn","Aladdin","74","aladdin"
"ala","ala.rsn","Aladdin","75","aladdin"
