"33ejh","33ejh.rsn","3x3 Eyes: Juuma Houkan","",""
"33esk","33esk.rsn","3x3 Eyes: Seima Kourinden","",""
"abr","abr.rsn","The Adventures of Batman and Robin","",""
"acd","acd.rsn","Christmas Demo","",""
"adf","adf.rsn","The Addams Family","",""
"afam2","afam2.rsn","Addams Family: Pugsley's Scavenger Hunt","",""
"agogo","agogo.rsn","Uchuu Race Astro Go Go","",""
"ahawk","ahawk.rsn","Astrohawk: May 2003 Version","",""
"airm","airm.rsn","Air Management: Ozora ni Kakeru (Aerobiz)","",""
"airm2","airm2.rsn","Air Management 2: Koukuu Ou wo Mezase (Aerobiz Supersonic)","",""
"alice","alice.rsn","Alice's Paint Adventure","",""
"anigb","anigb.rsn","Animaniacs (Super Gameboy)","",""
"apple","apple.rsn","Appleseed: Prometheus no Shintaku","",""
"aqua","aqua.rsn","Super Aquatic Games (James Pond's Crazy Sports)","",""
"arbf","arbf.rsn","The Adventures of Rocky and Bullwinkle and Friends","",""
"asp","asp.rsn","A.S.P. Air Strike Patrol","",""
"atfgw","atfgw.rsn","An American Tail: Fievel Goes West","",""
"basc","basc.rsn","Bass Master Classic","",""
"bascp","bascp.rsn","Bass Master Classic Pro Edition","",""
"bbr","bbr.rsn","Bugs Bunny: Rabbit Rampage","",""
"bbs2","bbs2.rsn","Bubsy 2","",""
"bbt","bbt.rsn","Bouncing Ball Trainer","",""
"bdash","bdash.rsn","BS Bdash","",""
"bevb","bevb.rsn","Beach Volleyball (Super Gameboy)","",""
"bfn1","bfn1.rsn","Itoi Shigesato no Bass Tsuri No.1 (Shigesato Itoi's Bass Fishing No.1)","",""
"biow","biow.rsn","Bioworm","",""
"bkdc","bkdc.rsn","Bakutou Dodgers","",""
"blues","blues.rsn","The Blues Brothers","",""
"bmg","bmg.rsn","Bokujou Monogatari (Harvest Moon)","",""
"bms","bms.rsn","Bazoe! Mahou Sekai (Ancient Magic)","",""
"bof2","bof2.rsn","Breath of Fire 2","",""
"botb","botb.rsn","Best of the Best: Championship Karate","",""
"brj","brj.rsn","Batman: Revenge of the Joker","",""
"brtl","brtl.rsn","Brutal: Paws of Fury","",""
"bsdq","bsdq.rsn","BS Dragon Quest","",""
"bsj","bsj.rsn","Barkley: Shut Up and Jam!","",""
"bsnm","bsnm.rsn","BS Nichibutsu Mahjong","",""
"bssw2","bssw2.rsn","BS Saterawalker 2","",""
"bsz","bsz.rsn","BS Zelda","",""
"btfh","btfh.rsn","Battle Tycoon: Flash Hiders SFX","",""
"btmb","btmb.rsn","Gekitotsu Dangan Jidousha Kessen: Battle Mobile","",""
"btsc","btsc.rsn","Battle Soccer: Field no Hasha","",""
"bug","bug.rsn","A Bug's Life (Super Gameboy)","",""
"burn","burn.rsn","SNES Burn-in Test Cart","",""
"bust","bust.rsn","BS Buster's Digital Magazine","",""
"bwh","bwh.rsn","Bishoujo Wrestlinger's History","",""
"cagj","cagj.rsn","Cute Angela: Great Journey","",""
"card","card.rsn","Cardmaster (Arcana)","",""
"cas","cas.rsn","Casper (Japanese Version)","",""
"casp","casp.rsn","Casper (American Version)","",""
"cb","cb.rsn","Crystal Beans, From Dungeon Explorer","",""
"cctcf","cctcf.rsn","Chester Cheetah: Too Cool to Fool","",""
"ccwwq","ccwwq.rsn","Chester Cheetah Wild Wild Quest","",""
"cd79","cd79.rsn","Kidou Senshi Gundam: Cross Dimension 0079","",""
"cgp","cgp.rsn","Cosmo Gang the Puzzle","",""
"cgv","cgv.rsn","Cosmo Gang the Video","",""
"cheap","cheap.rsn","BS Cheap de Gorgeous","",""
"cho","cho.rsn","Chou Aniki: Bakuretsu Rantou Hen","",""
"circ","circ.rsn","Kyle Petty's No Fear Racing (Circuit USA)","",""
"cml","cml.rsn","Cameltry (On the Ball)","",""
"cnkub","cnkub.rsn","Computer Nouryoku Kaiseki Ultra Baken","",""
"cntr3","cntr3.rsn","Contra 3","",""
"colu","colu.rsn","BS Columbus no Tamagoyaki","",""
"crs","crs.rsn","Crayon Shin-chan: Arashi wo yobu Enji","",""
"crsnd","crsnd.rsn","Crayon Shin-chan: Nagagutsu Dobon!!","",""
"csz","csz.rsn","Congo the Movie: The Secret of Zinj","",""
"ctp","ctp.rsn","Chrono Trigger Pre-Release","",""
"dals","dals.rsn","Dolucky's A-League Soccer","",""
"dars","dars.rsn","The Death and Return of Superman","",""
"dbhd","dbhd.rsn","Dragon Ball Z: Hyper Dimension","",""
"dbls","dbls.rsn","Dragon: The Bruce Lee Story","",""
"dbth","dbth.rsn","Dragon Ball Z Super Gokuden: Totsugeki-Hen","",""
"dbzb","dbzb.rsn","Dragon Ball Z: Super Butouden","",""
"dbzb2","dbzb2.rsn","Dragon Ball Z: Super Butouden 2","",""
"dbzb3","dbzb3.rsn","Dragon Ball Z: Super Butouden 3","",""
"dbzr","dbzr.rsn","Dragon Ball Z RPG: Legend of the Super Saiya-jin","",""
"dd5","dd5.rsn","Double Dragon 5","",""
"ddmb","ddmb.rsn","Donald Duck: Mahou no Boushi","",""
"df","df.rsn","Darius Force (Super Nova)","",""
"dirty","dirty.rsn","Kinnikuman: Dirty Challenger","",""
"dk","dk.rsn","Donkey Kong (Super Gameboy)","",""
"dlp","dlp.rsn","Demon of Laplace","",""
"dmkd","dmkd.rsn","Dream Maze: Kigurumi Daibouken","",""
"doh","doh.rsn","Arkanoid: Doh it Again","",""
"doka","doka.rsn","Dokapon 321","",""
"dqai","dqai.rsn","Dorque and Imp","",""
"drm","drm.rsn","BS Do-Re-Mi","",""
"drmf","drmf.rsn","Do-Re-Mi Fantasy: Milon no DokiDoki Daibouken","",""
"ds9","ds9.rsn","Star Trek Deep Space Nine: The Crossroads of Time","",""
"dslh","dslh.rsn","Dragon Slayer: The Legend of Heroes","",""
"dsrg","dsrg.rsn","Desert Strike: Return to the Gulf","",""
"dt","dt.rsn","DynamiTracer","",""
"dtlv","dtlv.rsn","Dynamaite: The LasVegas","",""
"dv","dv.rsn","Dragon View (Drakkhen 2)","",""
"dx","dx.rsn","Dracula X (Castlevania V: Vampire's Kiss)","",""
"ed","ed.rsn","Estpolis Denki (Lufia and the Fortress of Doom)","",""
"ed2","ed2.rsn","Lufia 2: Rise of the Sinistrals","",""
"edf","edf.rsn","Super E.D.F. - Earth Defense Force","",""
"eq","eq.rsn","Equinox (Solstice II)","",""
"esprk","esprk.rsn","Esparks: Ijikuu kara no Raihousha","",""
"est2p","est2p.rsn","Estpolis Denki 2 (Lufia 2) Prototype","",""
"evo","evo.rsn","E.V.O.: Search for Eden","",""
"f1gp2","f1gp2.rsn","F-1 Grand Prix Part II","",""
"f1gp3","f1gp3.rsn","F-1 Grand Prix Part III","",""
"f91","f91.rsn","Gundam F-91","",""
"f97gb","f97gb.rsn","FIFA Soccer '97 (Super Gameboy)","",""
"f98gb","f98gb.rsn","FIFA Soccer '98 (Super Gameboy)","",""
"fdogs","fdogs.rsn","Ren & Stimpy Show: Fire Dogs","",""
"fe3","fe3.rsn","Fire Emblem: Mystery of the Emblem","",""
"fe4","fe4.rsn","Fire Emblem: Genealogy of Holy-War","",""
"feoez","feoez.rsn","Tengai Makyo Zero (Far East of Eden Zero)","",""
"fet","fet.rsn","Fire Emblem Thracia 776","",""
"ff4","ff4.rsn","Final Fantasy 4","",""
"ff6","ff6.rsn","Final Fantasy 6","",""
"ffmq","ffmq.rsn","Final Fantasy USA: Mystic Quest","",""
"fgpx","fgpx.rsn","Future GPX: Cyber Formula","",""
"fir","fir.rsn","The Firemen","",""
"firea","firea.rsn","Firearm","",""
"frog","frog.rsn","FrogNES","",""
"fs97","fs97.rsn","FIFA 97: Gold Edition","",""
"fst","fst.rsn","Finalset Tennis","",""
"ftb","ftb.rsn","Masaki Shimono no Fishing To Bassing","",""
"ftc2","ftc2.rsn","Famicom Tantei Club 2","",""
"ftsdh","ftsdh.rsn","From TV Animation Slam Dunk: SD Heat Up!","",""
"ftsm","ftsm.rsn","Flintstones: Treasure of Sierra Madrock","",""
"furo","furo.rsn","BS Furoito no Chousenjou","",""
"gam","gam.rsn","Gamars Copier","",""
"gambh","gambh.rsn","Gamble Hourouki","",""
"gb4","gb4.rsn","The Great Battle IV","",""
"gd3","gd3.rsn","Gradius 3","",""
"gdl","gdl.rsn","GD Leen","",""
"gek","gek.rsn","BS Gekkan Coin Toss Deck","",""
"gg","gg.rsn","Ganbare Goemon (Legend of the Mystical Ninja)","",""
"gg2","gg2.rsn","Ganbare Goemon 2: Kiteretsu Shogun Magginesu!","",""
"gg3","gg3.rsn","Ganbare Goemon 3: Shishi Juroku Hyoe no Karakuri Manji Katame!","",""
"gg4","gg4.rsn","Ganbare Goemon 4: Kirakira Douchuu","",""
"gggs","gggs.rsn","Gamera: Gyaosu Gekimetsu Sakusen","",""
"gh","gh.rsn","Front Mission: Gun Hazard","",""
"gjc2","gjc2.rsn","Gambler Jiko Chuushinha 2: Dorapon Quest","",""
"gk2","gk2.rsn","Super Aoki Ookami to Shiroki Mejika: Genchou Hishi (Genghis Khan 2: Clan of the Grey Wolf)","",""
"gkd","gkd.rsn","Godzilla: Kaijuu Daikessen","",""
"gkh","gkh.rsn","Gakko de atta Kowai Hanashi","",""
"gnpl","gnpl.rsn","Gunple: Gunman's Proof","",""
"god","god.rsn","G.O.D.: Mezameyo to Yobu Koe ha Kikoe","",""
"gp","gp.rsn","Gokujyo Parodius (Parodius 2)","",""
"gp1p2","gp1p2.rsn","GP-1 Part II","",""
"gpgg7","gpgg7.rsn","BS Goods Press 7","",""
"gpggs","gpggs.rsn","BS Goods Press 3","",""
"gs","gs.rsn","Shinzui Taikyoku Igo Go Sennin","",""
"gsm","gsm.rsn","Ghost Sweeper Mikami: Gokuraku Daisakusen","",""
"gwed","gwed.rsn","Gundam Wing: Endless Duel","",""
"haji","haji.rsn","Hajimari no Mori (The Forest of Beginnings)","",""
"hdn","hdn.rsn","Hiouden: Mamono Tachi Tono Chikai","",""
"he4","he4.rsn","Heracles no Eikou IV: Kamigami kara no Okurimono","",""
