"33ejh","33ejh.rsn","3x3 Eyes: Juuma Houkan"
"33esk","33esk.rsn","3x3 Eyes: Seima Kourinden"
"3nkb","3nkb.rsn","3 Ninjas Kick Back"
"4ns","4ns.rsn","4 Nin Shogi"
"7sg","7sg.rsn","7th Saga"
"a88","a88.rsn","U.N. Squadron"
"aat","aat.rsn","Andre Agassi Tennis"
"abd","abd.rsn","American Battle Dome"
"abr","abr.rsn","The Adventures of Batman and Robin"
"acc","acc.rsn","Akazukin Cha Cha"
"accb","accb.rsn","Accelebrid"
"acd","acd.rsn","Christmas Demo"
"ace","ace.rsn","Ace o Nerae!"
"acme","acme.rsn","ACME Animation Factory"
"acrm","acrm.rsn","Acrobat Mission"
"actp","actp.rsn","Action Pachio"
"actr","actr.rsn","Actraiser"
"actr2","actr2.rsn","Actraiser 2"
"adf","adf.rsn","The Addams Family"
"ads","ads.rsn","Aoki Densetsu Shoot!"
"aero","aero.rsn","Aero the Acro-Bat"
"aero2","aero2.rsn","Aero the Acro-Bat 2"
"afam2","afam2.rsn","Addams Family: Pugsley's Scavenger Hunt"
"afv","afv.rsn","Addams Family Values"
"ag","ag.rsn","American Gladiators"
"aging","aging.rsn","Aging Cassette"
"agogo","agogo.rsn","Uchuu Race Astro Go Go"
"ahawk","ahawk.rsn","Astrohawk: May 2003 Version"
"airc","airc.rsn","Air Cavalry"
"airm","airm.rsn","Air Management: Ozora ni Kakeru (Aerobiz)"
"airm2","airm2.rsn","Air Management 2: Koukuu Ou wo Mezase (Aerobiz Supersonic)"
"al3","al3.rsn","Alien 3"
"ala","ala.rsn","Aladdin"
"alca","alca.rsn","Alcahest"
"alch","alch.rsn","Alfred Chicken"
"alft","alft.rsn","Ardy Lightfoot"
"alice","alice.rsn","Alice's Paint Adventure"
"alod","alod.rsn","Albert Odyssey"
"alod2","alod2.rsn","Albert Odyssey 2"
"amdz","amdz.rsn","Archer MacLean's Dropzone"
"amnf","amnf.rsn","ABC Monday Night Football"
"an","an.rsn","Arabian Nights"
"ani","ani.rsn","Animaniacs"
"anigb","anigb.rsn","Animaniacs (Super Gameboy)"
"apii","apii.rsn","Apocalypse II"
"apmj","apmj.rsn","Armor Police Metal Jack"
"apple","apple.rsn","Appleseed: Prometheus no Shintaku"
"aqua","aqua.rsn","Super Aquatic Games (James Pond's Crazy Sports)"
"ar","ar.rsn","Araiguma Rascal"
"arbf","arbf.rsn","The Adventures of Rocky and Bullwinkle and Friends"
"arc","arc.rsn","Arcus Spirits"
"are","are.rsn","Aretha"
"are2","are2.rsn","Aretha 2"
"ari3","ari3.rsn","A Ressha de Ikou 3 Super Version"
"arm","arm.rsn","AAAHH!!! Real Monsters"
"aryol","aryol.rsn","Aryol"
"asf1","asf1.rsn","Aguri Suzuki F-1 Super Driving"
"asp","asp.rsn","A.S.P. Air Strike Patrol"
"asr","asr.rsn","Asahi Shinbun Rensai"
"ast","ast.rsn","Asterix"
"ast2","ast2.rsn","Asterix & Obelix"
"astj","astj.rsn","Ashita no Joe"
"atfgw","atfgw.rsn","An American Tail: Fievel Goes West"
"aurt","aurt.rsn","Al Unser Jr's Road to the Top"
"avsp","avsp.rsn","Alien vs. Predator"
"axe","axe.rsn","Axelay"
"ballz","ballz.rsn","Ballz 3D"
"basc","basc.rsn","Bass Master Classic"
"bascp","bascp.rsn","Bass Master Classic Pro Edition"
"bast","bast.rsn","Bastard!!"
"batb","batb.rsn","Beauty and the Beast"
"bazb","bazb.rsn","Bazooka Blitzkrieg"
"bbb","bbb.rsn","Bing Bing! Bingo"
"bbd","bbd.rsn","Bomberman B-Daman"
"bbg","bbg.rsn","Ball Bullet Gun"
"bbh","bbh.rsn","Beavis and Butt-Head"
"bbk","bbk.rsn","Bebe's Kids"
"bbr","bbr.rsn","Bugs Bunny: Rabbit Rampage"
"bbs","bbs.rsn","Bubsy in Claws Encounters of the Furred Kind"
"bbs2","bbs2.rsn","Bubsy 2"
"bbt","bbt.rsn","Bouncing Ball Trainer"
"bc","bc.rsn","Battle Clash"
"bcar","bcar.rsn","Battle Cars"
"bcr","bcr.rsn","Battle Cross"
"bdash","bdash.rsn","BS Bdash"
"bdb2","bdb2.rsn","Battle Dodgeball 2"
"bdh","bdh.rsn","Brandish"
"bdh2","bdh2.rsn","Brandish 2"
"bdodg","bdodg.rsn","Battle Dodgeball"
"bdz","bdz.rsn","Bishin Densetsu Zoku"
"bevb","bevb.rsn","Beach Volleyball (Super Gameboy)"
"bf","bf.rsn","Batman Forever"
"bfn1","bfn1.rsn","Itoi Shigesato no Bass Tsuri No.1 (Shigesato Itoi's Bass Fishing No.1)"
"bg","bg.rsn","Benkei Gaiden"
"bhh","bhh.rsn","Brett Hull Hockey"
"bhh95","bhh95.rsn","Brett Hull Hockey '95"
"bio","bio.rsn","Bio Metal"
"biow","biow.rsn","Bioworm"
"bj","bj.rsn","Battle Jockey"
"bkdc","bkdc.rsn","Bakutou Dodgers"
"bkz","bkz.rsn","Block Kuzushi"
"bl","bl.rsn","Bahamut Lagoon"
"blcb","blcb.rsn","Bill Laimbeer's Combat Basketball"
"blues","blues.rsn","The Blues Brothers"
"blzn","blzn.rsn","Blazeon"
"bm","bm.rsn","Battle Master"
"bmfm","bmfm.rsn","Biker Mice From Mars"
"bmg","bmg.rsn","Bokujou Monogatari (Harvest Moon)"
"bms","bms.rsn","Bazoe! Mahou Sekai (Ancient Magic)"
"bnkr","bnkr.rsn","Bonkers"
